PEPMASS	CHARGE	MSLEVEL	SOURCE_INSTRUMENT	FILENAME	SEQ	IONMODE	ORGANISM	NAME	PI	DATACOLLECTOR	SMILES	INCHI	INCHIAUX	PUBMED	SUBMITUSER	LIBRARYQUALITY	SPECTRUMID	SCANS	Monohydroxy	3-OH	3a-OH	7a-OH	7b-OH	Dihydroxy	1-ketone	3,12a-OH; 7,12a-OH	3,12a-OH	7,12a-OH	3,7-OH; 3,6-OH; 3,12b-OH; 7,12b-OH	3,7-OH; 3,12b-OH; 7,12b-OH	3,6-OH	3,7-OH	3,12b-OH; 7,12b-OH	Trihydroxy	All_ketone	3k_7or12_OH	3a_12k	3,7a,12a	3,6,7-OH	3,6b,7b-OH	3,6a,7a-OH	3,6b,7a-OH; 3,6a,7b-OH	3,6b,7a-OH	3,6a,7b-OH	1-OH-Sidechain; 1-OH-core	group	mono_gt	di_gt	tri_gt	di_1_sc_oh	ADDUCT
391.285	1	2	ESI-Orbitrap	Standards_n_1ugmL_chenodeoxycholic.mzXML	*..*	Negative	BILELIB19	chenodeoxycholic acid M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16+,17+,18-,19-,20+,22-,23?,24?/m0/s1			mpanitchpakdi	1	CCMSLIB00005435444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	M-H
783.578	1	2	ESI-Orbitrap	Standards_n_1ugmL_chenodeoxycholic.mzXML	*..*	Negative	BILELIB19	chenodeoxycholic acid 2M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16+,17+,18-,19-,20+,22-,23?,24?/m0/s2			mpanitchpakdi	1	CCMSLIB00005435445	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	2M-H
805.559	1	2	ESI-Orbitrap	Standards_n_1ugmL_chenodeoxycholic.mzXML	*..*	Negative	BILELIB19	chenodeoxycholic acid 2M-2H+Na	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C24H40O4/c1-14(4-7-21(27)28)17-5-6-18-22-19(9-11-24(17,18)3)23(2)10-8-16(25)12-15(23)13-20(22)26/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16+,17+,18-,19-,20+,22-,23?,24?/m0/s2			mpanitchpakdi	1	CCMSLIB00005435446	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	2M-2H+Na
407.28	1	2	ESI-Orbitrap	Standards_n_1ugmL_cholic.mzXML	*..*	Negative	BILELIB19	cholic acid M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13?,14-,15+,16+,17-,18-,19+,20-,22-,23?,24?/m0/s1			mpanitchpakdi	1	CCMSLIB00005435447	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	0.0	1.0	0.0	M-H
815.567	1	2	ESI-Orbitrap	Standards_n_1ugmL_cholic.mzXML	*..*	Negative	BILELIB19	cholic acid 2M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13?,14-,15+,16+,17-,18-,19+,20-,22-,23?,24?/m0/s1			mpanitchpakdi	1	CCMSLIB00005435448	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	0.0	1.0	0.0	2M-H
837.549	1	2	ESI-Orbitrap	Standards_n_1ugmL_cholic.mzXML	*..*	Negative	BILELIB19	cholic acid 2M-2H+Na	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C	1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13?,14-,15+,16+,17-,18-,19+,20-,22-,23?,24?/m0/s1			mpanitchpakdi	1	CCMSLIB00005435449	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	0.0	1.0	0.0	2M-2H+Na
391.285	1	2	ESI-Orbitrap	Standards_n_1ugmL_deoxycholic.mzXML	*..*	Negative	BILELIB19	deoxycholic acid M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16-,17+,18-,19+,20+,21+,23?,24?/m1/s1			mpanitchpakdi	1	CCMSLIB00005435450	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	M-H
783.577	1	2	ESI-Orbitrap	Standards_n_1ugmL_deoxycholic.mzXML	*..*	Negative	BILELIB19	deoxycholic acid 2M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16-,17+,18-,19+,20+,21+,23?,24?/m1/s1			mpanitchpakdi	1	CCMSLIB00005435451	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	2M-H
805.559	1	2	ESI-Orbitrap	Standards_n_1ugmL_deoxycholic.mzXML	*..*	Negative	BILELIB19	deoxycholic acid 2M-2H+Na	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C24H40O4/c1-14(4-9-22(27)28)18-7-8-19-17-6-5-15-12-16(25)10-11-23(15,2)20(17)13-21(26)24(18,19)3/h14-21,25-26H,4-13H2,1-3H3,(H,27,28)/t14?,15-,16-,17+,18-,19+,20+,21+,23?,24?/m1/s1			mpanitchpakdi	1	CCMSLIB00005435452	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	2M-2H+Na
448.306	1	2	ESI-Orbitrap	Standards_n_1ugmL_glycochenodeoxycholic.mzXML	*..*	Negative	BILELIB19	glycochenodeoxycholic acid M-H	Dorrestein	A. Jarmusch	C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	1S/C26H43NO5/c1-15(4-7-22(30)27-14-23(31)32)18-5-6-19-24-20(9-11-26(18,19)3)25(2)10-8-17(28)12-16(25)13-21(24)29/h15-21,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32)/t15?,16-,17+,18+,19-,20-,21+,24-,25?,26?/m0/s1			mpanitchpakdi	1	CCMSLIB00005435453	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0.0	1.0	0.0	0.0	M-H
